item,unix_timestamp,value,activity_label,location_label
BdRm_Motion_2,1563960526000,ON,TRA,TRA
BdRm_Motion_1,1563960530000,ON,TRA,TRA
BdRm_Tch_2,1563960534000,ON,TRA,TRA
BdRm_Tch_2,1563960534000,OFF,TRA,TRA
BdRm_Tch_2,1563960535000,ON,TRA,TRA
Bedroom_blind,1563960536000,98.0,TRA,TRA
BdRm_Tch_2,1563960537000,OFF,TRA,TRA
BdRm_Tch_2,1563960542000,ON,TRA,TRA
BdRm_Tch_2,1563960542000,OFF,TRA,TRA
BdRm_Motion_2,1563960543000,OFF,TRA,TRA
BdRm_Motion_1,1563960543000,OFF,TRA,TRA
Bedroom_blind,1563960543000,92.0,TRA,TRA
Bedroom_blind,1563960545000,83.0,TRA,TRA
BdRm_Motion_2,1563960546000,ON,TRA,TRA
BdRm_Motion_1,1563960546000,ON,TRA,TRA
Bedroom_blind,1563960547000,74.0,TRA,TRA
Bedroom_blind,1563960549000,65.0,activity_dressing,bedroom_location_wardrobe
Bedroom_blind,1563960551000,57.0,activity_dressing,bedroom_location_wardrobe
Bedroom_blind,1563960553000,48.0,activity_dressing,bedroom_location_wardrobe
Bedroom_blind,1563960555000,39.0,activity_dressing,bedroom_location_wardrobe
Bedroom_blind,1563960557000,31.0,activity_dressing,bedroom_location_wardrobe
BdRm_Motion_2,1563960558000,OFF,activity_dressing,bedroom_location_wardrobe
Bedroom_blind,1563960558000,26.0,activity_dressing,bedroom_location_wardrobe
Bedroom_blind,1563960560000,18.0,activity_dressing,bedroom_location_wardrobe
Bedroom_blind,1563960562000,9.0,activity_dressing,bedroom_location_wardrobe
Bedroom_blind,1563960564000,0.0,activity_dressing,bedroom_location_wardrobe
BdRm_Motion_2,1563960585000,ON,activity_dressing,bedroom_location_drawers
BdRm_Motion_2,1563960596000,OFF,activity_dressing,bedroom_location_drawers
BdRm_Motion_2,1563960613000,ON,TRA,TRA
BhRm_Motion_1,1563960620000,ON,TRA,TRA
BhRm_Motion_2,1563960621000,ON,TRA,TRA
BdRm_Motion_1,1563960625000,OFF,TRA,TRA
BdRm_Motion_1,1563960633000,ON,TRA,TRA
BhRm_Motion_2,1563960635000,OFF,TRA,TRA
BhRm_Motion_1,1563960639000,OFF,activity_brushing_teeth,bedroom_location_mirror
BdRm_Motion_1,1563960643000,OFF,activity_brushing_teeth,bedroom_location_mirror
BdRm_Motion_2,1563960643000,OFF,activity_brushing_teeth,bedroom_location_mirror
BdRm_Motion_2,1563960672000,ON,activity_brushing_hair,bedroom_location_mirror
BdRm_Motion_2,1563960685000,OFF,activity_brushing_hair,bedroom_location_mirror
BdRm_Motion_2,1563960707000,ON,TRA,TRA
BdRm_Motion_1,1563960707000,ON,TRA,TRA
DgRm_Motion_1,1563960713000,ON,TRA,TRA
DgRm_Motion_2,1563960717000,ON,TRA,TRA
Ktch_Motion_1,1563960719000,ON,TRA,TRA
BdRm_Motion_1,1563960720000,OFF,TRA,TRA
BdRm_Motion_2,1563960721000,OFF,TRA,TRA
Ktch_Motion_2,1563960722000,ON,TRA,TRA
Ktch_T2_Cupboard,1563960723000,OFF,activity_prepare_tea,kitchen_location_worktop_corner
Ktch_T2_Cupboard,1563960726000,ON,activity_prepare_tea,kitchen_location_worktop_corner
DgRm_Motion_1,1563960729000,OFF,activity_prepare_tea,kitchen_location_worktop_sink
DgRm_Motion_2,1563960747000,OFF,activity_prepare_tea,kitchen_location_worktop_sink
Ktch_Motion_2,1563960748000,OFF,activity_prepare_tea,kitchen_location_worktop_sink
Ktch_Motion_2,1563960755000,ON,activity_prepare_tea,kitchen_location_worktop_corner
DgRm_Motion_2,1563960760000,ON,activity_prepare_tea,kitchen_location_worktop_corner
Ktch_Motion_2,1563960765000,OFF,activity_prepare_tea,kitchen_location_worktop_corner
DgRm_Motion_2,1563960769000,OFF,activity_prepare_tea,kitchen_location_worktop_corner
Ktch_T1_Cupboard,1563960778000,OFF,activity_prepare_tea,kitchen_location_worktop_corner
Ktch_T1_Cupboard,1563960782000,ON,activity_prepare_tea,kitchen_location_worktop_corner
Ktch_T3_Cupboard,1563960784000,OFF,activity_prepare_tea,kitchen_location_worktop_corner
Ktch_T3_Cupboard,1563960790000,ON,activity_prepare_sandwich,kitchen_location_worktop_corner
Ktch_T3_Cupboard,1563960802000,OFF,activity_prepare_sandwich,kitchen_location_worktop_corner
Ktch_T3_Cupboard,1563960806000,ON,activity_prepare_sandwich,kitchen_location_worktop_corner
Ktch_Motion_2,1563960811000,ON,activity_prepare_sandwich,kitchen_location_worktop_corner
DgRm_Motion_2,1563960812000,ON,activity_prepare_sandwich,kitchen_location_worktop_corner
DgRm_Motion_1,1563960813000,ON,activity_prepare_sandwich,kitchen_location_worktop_corner
Ktch_B1_Draw,1563960813000,OFF,activity_prepare_sandwich,kitchen_location_worktop_corner
Ktch_B1_Draw,1563960817000,ON,activity_prepare_sandwich,kitchen_location_worktop_stove
DgRm_Motion_1,1563960823000,OFF,activity_prepare_sandwich,kitchen_location_worktop_corner
